-6402.98,3226.92
-6401.55,3426.92
-6192.95,4625.45
-6194.39,4425.46
-6195.82,4225.46
-6197.25,4025.47
-6198.69,3825.47
-6200.12,3625.48
-6201.55,3425.48
-6202.98,3225.49
-6004.42,3024.06
-6002.99,3224.06
-6001.56,3424.05
-6000.12,3624.05
-5998.69,3824.04
-5997.26,4024.03
-5995.83,4224.03
-5994.39,4424.02
-5992.96,4624.02
-5794.40,4422.59
-5795.83,4222.60
-5797.26,4022.60
-5798.70,3822.61
-5800.13,3622.61
-5801.56,3422.62
-5803.00,3222.62
-5804.43,3022.63
-5604.43,3021.19
-5603.00,3221.19
-5601.57,3421.18
-5600.13,3621.18
-5598.70,3821.17
-5597.27,4021.17
-5595.84,4221.16
-5594.40,4421.16
-5394.41,4419.73
-5395.84,4219.73
-5397.27,4019.74
-5398.71,3819.74
-5400.14,3619.75
-5401.57,3419.75
-5403.01,3219.76
-5198.71,3818.31
-5197.28,4018.30
-5195.85,4218.30
-7526.86,3540.28
-7525.43,3740.28
-7524.00,3940.27
-7522.56,4140.27
-7521.13,4340.26
-7519.70,4540.26
-7518.27,4740.25
-7516.83,4940.25
-7515.40,5140.24
-7315.40,5138.81
-7316.84,4938.81
-7318.27,4738.82
-7319.70,4538.82
-7321.14,4338.83
-7322.57,4138.83
-7324.00,3938.84
-7325.44,3738.84
-7326.87,3538.85
-7124.01,3937.41
-7122.57,4137.40
-7121.14,4337.40
-7119.71,4537.39
-7118.28,4737.39
-7116.84,4937.38
-6916.85,4935.95
-6918.28,4735.95
-6919.71,4535.96
-6921.15,4335.96
-6922.58,4135.97
-6721.15,4334.53
-6719.72,4534.52
-6718.29,4734.52
1781.74,-1712.45
1783.17,-1512.45
1987.47,-913.90
1986.03,-1113.90
1984.60,-1313.89
1983.17,-1513.89
1981.74,-1713.88
2180.30,-1915.31
2181.73,-1715.31
2183.16,-1515.32
2184.60,-1315.32
2186.03,-1115.33
2187.46,-915.33
2188.90,-715.34
2387.46,-916.77
2386.02,-1116.76
2384.59,-1316.76
2383.16,-1516.75
2381.73,-1716.75
2380.29,-1916.74
2580.29,-1918.17
2581.72,-1718.18
2583.15,-1518.18
2584.59,-1318.19
2586.02,-1118.19
2587.45,-918.20
2786.01,-1119.63
2784.58,-1319.62
2783.15,-1519.62
2781.72,-1719.61
2780.28,-1919.61
2978.84,-2121.03
2980.28,-1921.04
2981.71,-1721.05
2983.14,-1521.05
2984.58,-1321.06
3184.57,-1322.49
3183.14,-1522.48
3181.70,-1722.48
3180.27,-1922.47
3178.84,-2122.47
3378.83,-2123.90
3380.27,-1923.91
3381.70,-1723.91
3383.13,-1523.92
1350.41,-3041.49
1348.97,-3241.49
1347.54,-3441.48
1346.11,-3641.48
1344.68,-3841.47
1544.67,-3842.90
1546.10,-3642.91
1547.54,-3442.91
1548.97,-3242.92
1550.40,-3042.92
1551.84,-2842.93
1553.27,-2642.93
1751.83,-2844.36
1750.40,-3044.36
1748.96,-3244.35
1747.53,-3444.35
1746.10,-3644.34
1744.67,-3844.34
1943.23,-4045.76
1944.66,-3845.77
1946.09,-3645.77
1947.53,-3445.78
1948.96,-3245.78
1950.39,-3045.79
1951.82,-2845.80
2151.82,-2847.23
2150.39,-3047.22
2148.95,-3247.22
2147.52,-3447.21
2146.09,-3647.21
2144.65,-3847.20
2143.22,-4047.20
2343.22,-4048.63
2344.65,-3848.64
2346.08,-3648.64
2347.52,-3448.65
2348.95,-3248.65
2350.38,-3048.66
2548.94,-3250.08
2547.51,-3450.08
2546.08,-3650.07
2544.64,-3850.07
2543.21,-4050.06
2746.07,-3651.51
2747.51,-3451.51
2748.94,-3251.52
